lag,ari,subperiod
0,0.021663679060870064,GFC_2008_2009
4,0.018756824407658326,GFC_2008_2009
8,-0.023659280964289726,GFC_2008_2009
12,-0.026593061835292676,GFC_2008_2009
0,0.08767684266072899,Oil_crash_2014_2015
4,0.049316048775538954,Oil_crash_2014_2015
8,0.05950755459364004,Oil_crash_2014_2015
12,0.0727370150034453,Oil_crash_2014_2015
0,0.05074589934636619,COVID_2020
4,0.0057413006743616745,COVID_2020
8,0.010460258518417418,COVID_2020
12,-0.016650899648627863,COVID_2020
0,0.005897766820846705,Gas_shock_2021_2022
4,0.012803396328378736,Gas_shock_2021_2022
8,0.039687862976599896,Gas_shock_2021_2022
12,0.06193943257811012,Gas_shock_2021_2022
0,0.029889506569512975,Baseline_2016_2017
4,0.06081549340604019,Baseline_2016_2017
8,0.05362893966021497,Baseline_2016_2017
12,0.05267671248793016,Baseline_2016_2017
0,0.053113459515483345,Baseline_2018_2019
4,0.05182444581103195,Baseline_2018_2019
8,0.05090267585346354,Baseline_2018_2019
12,0.044006331930887224,Baseline_2018_2019
0,0.09324747583871759,Baseline_2023
4,0.04050846421777831,Baseline_2023
8,0.054194044542820334,Baseline_2023
12,0.0072287863766719185,Baseline_2023
